week,geohash7,kecamatan,kabupaten,region,kab_type,six_cities,CityType,avg_rsrp,total_call_count,total_tiles,bad_tiles_rsrp,total_payload_covmo_kB,bad_rsrp_tile_payload_covmo_kB,total_subscriber_count,bad_rsrp_tile_subscriber_count,koeff,total_payload_covmo_MB,bad_rsrp_tile_payload_covmo_MB,total_payload_covmo_normalize_MB,bad_rsrp_tile_payload_covmo_normalize_MB,thd_subs,thd_luas,luas_m2,bad_tile_abv_thd,subs_abv_thd,luas_abv_thd,bad_tiles_n_subs_abv_thd,bad_tiles_n_subs_n_luas_abv_thd,bad_grid,more_than_3_wks,cluster_member,cluster_member_reg,forming_cluster,cluster_id,red_cov,latitude_geohash7,longitude_geohash7,nearest_site_1,latitude_site_1,longitude_site_1,ant_height_site_1,nearest_site_2,latitude_site_2,longitude_site_2,ant_height_site_2,nearest_site_3,latitude_site_3,longitude_site_3,ant_height_site_3,distance_to_site_1,bearing_to_site_1,distance_to_site_2,bearing_to_site_2,distance_to_site_3,bearing_to_site_3,lowest_band_1,lowest_band_2,lowest_band_3,delta_1,azimuth_1,lac_enodeb_1,ci_1,sector_1,delta_2,azimuth_2,lac_enodeb_2,ci_2,sector_2,delta_3,azimuth_3,lac_enodeb_3,ci_3,sector_3,elev_geohash7,elev_site_1,elev_site_2,elev_site_3,total_height_site_1,total_height_site_2,total_height_site_3,max_intermediate_elev_site_1,max_intermediate_elev_site_2,max_intermediate_elev_site_3,site_higher_1,site_higher_2,site_higher_3,site_higher_than_max_intermediate_1,site_higher_than_max_intermediate_2,site_higher_than_max_intermediate_3,no_blocking_1,no_blocking_2,no_blocking_3,clutter,distance_thd_1,distance_thd_2,distance_thd_3,Distance Thd L900,index_SD_1,index_bw_1,distance_cat_1,score_1,index_SD_2,index_bw_2,distance_cat_2,score_2,index_SD_3,index_bw_3,distance_cat_3,score_3,rank_1,rank_2,rank_3,solution_1,solution_2,solution_3,best serving no,solution rank1,rank1 site,rank1 CI,Solution Priority,Priority No.,prio_site,prio_EnodeB,prio_CI,prio_sector,red_cov_category
202624,qqwx860,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-104.672,9073,16,8,12082000,3582870,1001,525.571,0.895055,11798.8,3498.9,10560.6,3131.71,3000,8000,4645.28,1,0,0,0,0,0,0,,,,,0,-7.10747,110.402,UNR716,-7.11072,110.407,50,UNR728,-7.11795,110.403,30,SMG040,-7.10298,110.412,70,614.666,305.994,1161.04,356.846,1223.35,245.902,LTE900,LTE900,LTE900,19.0055,325,195716,32,3,36.8463,320,195728,32,3,34.0983,280,196040,32,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,SU,1274.97,1092.39,1311.49,1311.49,2.41051,3.16759,0 to half_thd,2.63763,6,6,more than thd,6,4.66398,6,half_thd to thd,5.06479,1,3,2,not BS,not BS,not BS,1,not BS,UNR716,32,not BS,1,UNR716,195716,32,3,BAD NON POTENTIAL
202624,qqwx85p,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-107.246,10053.1,16,13,3875000,2817740,1256.86,1035,0.895055,3784.18,2751.7,3387.05,2462.92,3000,8000,4492.12,1,0,0,0,0,0,0,,,,,0,-7.10197,110.401,SMG086,-7.09409,110.407,70,UNR716,-7.11072,110.407,50,SMG040,-7.10298,110.412,70,1100.03,217.372,1165.39,326.265,1274.5,275.018,LTE1800,LTE900,LTE900,17.3716,200,196086,31,3,1.2653,325,195716,32,3,4.9823,280,196040,32,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,SU,1031.44,1274.97,1311.49,1311.49,6,2.89527,more than thd,5.06858,4.57025,0.210883,half_thd to thd,3.26244,4.85899,0.830383,half_thd to thd,3.65041,3,1,2,not BS,not BS,not BS,2,not BS,UNR716,32,not BS,1,SMG086,196086,31,3,BAD NON POTENTIAL
202624,qqwx84r,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-104.59,6957.57,16,7,1811950,798430,805.286,361.286,0.895055,1769.49,779.717,1583.79,697.889,3000,8000,5686.52,1,0,0,0,0,0,0,,,,,0,-7.10609,110.401,UNR716,-7.11072,110.407,50,SMG040,-7.10298,110.412,70,UNR728,-7.11795,110.403,30,827.274,308.381,1315.67,254.707,1328.8,350.705,LTE900,LTE900,LTE900,16.6194,325,195716,32,3,25.2927,280,196040,32,3,30.7053,320,195728,32,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,SU,1274.97,1311.49,1092.39,1311.49,3.24428,2.76989,half_thd to thd,3.10197,6,4.21545,more than thd,5.46463,6,6,more than thd,6,1,2,3,not BS,not BS,not BS,1,not BS,UNR716,32,not BS,1,UNR716,195716,32,3,BAD NON POTENTIAL
202624,qqwx86b,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-106.624,11027.1,16,13,2842300,2054220,1391,1131.14,0.895055,2775.69,2006.08,2484.39,1795.55,3000,8000,12800.4,1,0,1,0,0,0,0,,,,,0,-7.10335,110.402,UNR716,-7.11072,110.407,50,SMG040,-7.10298,110.412,70,SMG086,-7.09409,110.407,70,955.597,328.728,1118.72,267.879,1147.86,206.716,LTE900,LTE900,LTE1800,3.72822,325,195716,32,3,12.1208,280,196040,32,3,6.71625,200,196086,31,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,SU,1274.97,1311.49,1031.44,1311.49,3.74752,0.621371,half_thd to thd,2.80968,4.26509,2.02013,half_thd to thd,3.59161,6,1.11938,more than thd,4.53581,1,2,3,not BS,not BS,not BS,1,not BS,UNR716,32,not BS,1,UNR716,195716,32,3,BAD NON POTENTIAL
202624,qqwx9j5,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-103.751,417.243,16,5,37064.4,7440.59,79.219,25.4571,0.895055,36.1957,7.2662,32.3971,6.50365,3000,8000,26.9052,1,0,0,0,0,0,0,,,,,0,-7.09099,110.439,SMG012,-7.08595,110.431,61,UNR047,-7.09512,110.449,69,SMG152,-7.07597,110.443,62,1039.8,122.574,1186.17,292.769,1708.3,193.446,LTE900,LTE900,LTE1800,42.5736,80,196012,12,1,72.769,220,195047,32,3,73.4457,120,196152,21,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,SU,1274.97,1311.49,1004.54,1311.49,4.07775,6,half_thd to thd,4.65443,4.52223,6,half_thd to thd,4.96556,6,6,more than thd,6,1,2,3,not BS,not BS,not BS,1,not BS,SMG012,12,not BS,1,SMG012,196012,12,1,BAD NON POTENTIAL
202624,qqwxb27,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-107.405,2965.29,16,11,2698380,1456550,494,340.429,0.895055,2635.14,1422.41,2358.6,1273.14,3000,8000,1238.82,1,0,0,0,0,0,0,,,,,0,-7.07314,110.406,SMG504,-7.07274,110.413,41,SMG419,-7.06688,110.411,19,SMG302,-7.08002,110.412,38,749.353,266.615,851.795,215.539,1006.76,319.323,LTE900,LTE1800,LTE1800,23.3848,290,196504,32,3,90.5388,125,196419,11,1,4.32344,315,196302,31,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,SU,1165.42,762.418,870.027,1311.49,3.21494,3.89746,half_thd to thd,3.4197,6,6,more than thd,6,6,0.720573,more than thd,4.41617,1,3,2,not BS,not BS,not BS,1,not BS,SMG504,32,not BS,1,SMG504,196504,32,3,BAD NON POTENTIAL
202624,qqwxbvr,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-105.316,17206.6,16,10,5095640,3860090,5953.86,2855.57,0.895055,4976.21,3769.62,4453.98,3374.02,3000,8000,8600.27,1,1,1,1,1,1,1,2,2,1,202624_307,1,-7.04567,110.434,SMG622,-7.0438,110.432,15,SMG523,-7.04861,110.429,18,SMG425,-7.0436,110.44,65,333.885,128.421,624.315,58.4409,742.026,251.886,LTE1800,LTE1800,LTE1800,41.5788,170,196622,21,2,31.5591,90,196523,11,1,88.1136,340,196425,31,3,172.319,184.021,222.616,151.201,199.021,240.616,216.201,184.021,222.616,172.319,1,1,1,1,1,1,1,1,0,SU,762.418,762.418,1031.44,1311.49,2.18965,6,0 to half_thd,3.33275,4.09431,6,half_thd to thd,4.66602,3.59704,6,half_thd to thd,4.31793,1,3,2,f. New Infra,f. New Infra,f. New Infra,1,f. New Infra,SMG622,21,f. New Infra,1,SMG622,196622,21,2,RED ENGINEERING
202624,qqwxbvs,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-105.492,8047.71,16,8,2799420,1562840,2190.71,1026.57,0.895055,2733.81,1526.21,2446.91,1366.05,3000,8000,6669.8,1,0,0,0,0,0,0,,,,,0,-7.0443,110.43,SMG622,-7.0438,110.432,15,SMG523,-7.04861,110.429,18,SMG067,-7.03995,110.428,6,200.553,254.051,483.356,9.19753,535.894,153.854,LTE1800,LTE1800,LTE900,20.949,275,196622,31,3,80.8025,90,196523,11,1,26.1461,180,196067,22,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,SU,762.418,762.418,909.809,1311.49,1.31525,3.4915,0 to half_thd,1.96812,3.16989,6,half_thd to thd,4.01892,2.94509,4.35769,half_thd to thd,3.36887,1,3,2,not BS,not BS,not BS,1,not BS,SMG622,31,not BS,1,SMG622,196622,31,3,BAD NON POTENTIAL
202624,qqwx8uf,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-105.175,2772.14,16,9,307604,185022,1019.57,589.143,0.895055,300.394,180.686,268.869,161.724,3000,8000,11230.2,1,0,1,0,0,0,0,,,,,0,-7.09236,110.427,SMG554,-7.09339,110.423,18,SMG012,-7.08595,110.431,61,SMG141,-7.09571,110.418,66,476.113,76.0484,860.469,214.333,1069.67,69.6283,LTE900,LTE900,LTE1800,41.0484,35,196554,12,1,45.667,260,196012,22,2,29.6284,40,196141,11,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,SU,946.326,1274.97,1031.44,1311.49,2.51558,6,half_thd to thd,3.56091,3.37446,6,half_thd to thd,4.16213,6,4.93806,more than thd,5.68142,1,2,3,not BS,not BS,not BS,1,not BS,SMG554,12,not BS,1,SMG554,196554,12,1,BAD NON POTENTIAL
202624,qqwx862,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-106.376,16974.6,16,13,9820070,7873850,1134.86,925,0.895055,9589.91,7689.3,8583.5,6882.35,3000,8000,6604.14,1,0,0,0,0,0,0,,,,,0,-7.10609,110.402,UNR716,-7.11072,110.407,50,SMG040,-7.10298,110.412,70,UNR728,-7.11795,110.403,30,714.236,315.933,1169.95,252.749,1312.71,357.211,LTE900,LTE900,LTE900,9.06698,325,195716,32,3,27.2513,280,196040,32,3,37.211,320,195728,32,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,SU,1274.97,1311.49,1092.39,1311.49,2.80099,1.51116,half_thd to thd,2.41404,4.46038,4.54189,half_thd to thd,4.48483,6,6,more than thd,6,1,2,3,not BS,not BS,not BS,1,not BS,UNR716,32,not BS,1,UNR716,195716,32,3,BAD NON POTENTIAL
