week,geohash7,kecamatan,kabupaten,region,kab_type,six_cities,CityType,avg_rsrp,total_call_count,total_tiles,bad_tiles_rsrp,total_payload_covmo_kB,bad_rsrp_tile_payload_covmo_kB,total_subscriber_count,bad_rsrp_tile_subscriber_count,koeff,total_payload_covmo_MB,bad_rsrp_tile_payload_covmo_MB,total_payload_covmo_normalize_MB,bad_rsrp_tile_payload_covmo_normalize_MB,thd_subs,thd_luas,luas_m2,bad_tile_abv_thd,subs_abv_thd,luas_abv_thd,bad_tiles_n_subs_abv_thd,bad_tiles_n_subs_n_luas_abv_thd,bad_grid,more_than_3_wks,cluster_member,cluster_member_reg,forming_cluster,cluster_id,red_cov,latitude_geohash7,longitude_geohash7,nearest_site_1,latitude_site_1,longitude_site_1,ant_height_site_1,nearest_site_2,latitude_site_2,longitude_site_2,ant_height_site_2,nearest_site_3,latitude_site_3,longitude_site_3,ant_height_site_3,distance_to_site_1,bearing_to_site_1,distance_to_site_2,bearing_to_site_2,distance_to_site_3,bearing_to_site_3,lowest_band_1,lowest_band_2,lowest_band_3,delta_1,azimuth_1,lac_enodeb_1,ci_1,sector_1,delta_2,azimuth_2,lac_enodeb_2,ci_2,sector_2,delta_3,azimuth_3,lac_enodeb_3,ci_3,sector_3,elev_geohash7,elev_site_1,elev_site_2,elev_site_3,total_height_site_1,total_height_site_2,total_height_site_3,max_intermediate_elev_site_1,max_intermediate_elev_site_2,max_intermediate_elev_site_3,site_higher_1,site_higher_2,site_higher_3,site_higher_than_max_intermediate_1,site_higher_than_max_intermediate_2,site_higher_than_max_intermediate_3,no_blocking_1,no_blocking_2,no_blocking_3,clutter,distance_thd_1,distance_thd_2,distance_thd_3,Distance Thd L900,index_SD_1,index_bw_1,distance_cat_1,score_1,index_SD_2,index_bw_2,distance_cat_2,score_2,index_SD_3,index_bw_3,distance_cat_3,score_3,rank_1,rank_2,rank_3,solution_1,solution_2,solution_3,best serving no,solution rank1,rank1 site,rank1 CI,Solution Priority,Priority No.,prio_site,prio_EnodeB,prio_CI,prio_sector,red_cov_category
202624,qqwxn08,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-110.395,3766.83,16,3,5407277,11722835,762,436.16,0.895055,10594.23,4175.29,4337.66,9163.82,3000,8000,1578.04,1,1,0,1,1,1,0,,,,,1,-7.0906812,110.4049751,SMG047,-7.09631,110.40508,70,SMG040,-7.10489,110.39594,50,SMG086,-7.08469,110.40677,70,447.59,44.94,1301.75,332.03,2118.86,28.37,LTE1800,LTE1800,LTE900,63.71,0,196354,12,2,88.68,140,196774,11,2,25.74,57.58,195747,12,2,0,0,0,0,50,40,50,0,0,0,1,1,1,1,1,1,1,1,1,SU,1274.97,1311.49,1031.44,1311.49,4.51,4.13,0 to half_thd,4.24,1.86,4.4,0 to half_thd,3.58,2.35,5.56,more than thd,4.01,1,2,3,d. Add Sector,f. New Infra,not BS,1,a. Optimization,SMG047,22,a. Optimization,1,SMG047,195432,31,3,NOT RED COV
202624,qqwxbnd,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-110.285,5059.14,16,4,12960648,6412509,4465,1385.01,0.895055,14917.42,7026.07,5058.23,6642.28,3000,8000,14139.34,1,0,1,1,0,1,1,,,,,0,-7.090683,110.4063605,SMG789,-7.0963,110.41631,30,SMG665,-7.0904,110.39409,50,SMG653,-7.1088,110.39075,15,997.05,343.37,1646.53,315.31,1344.32,94.82,LTE2100,LTE900,LTE900,78.48,90,196723,32,3,55.2,90,195765,12,3,85.86,83.1,196881,11,3,0,0,0,0,50,70,30,0,0,0,1,1,1,1,1,1,1,1,1,SU,1274.97,1311.49,1031.44,1311.49,1.56,2.24,half_thd to thd,2.58,2.2,3.45,0 to half_thd,1.89,3.43,0.51,more than thd,4.95,1,2,3,a. Optimization,not BS,f. New Infra,3,f. New Infra,SMG789,21,not BS,3,SMG789,195866,12,3,BAD NON POTENTIAL
202624,qqwxsqq,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-82.16,22815.76,16,16,11137340,1198789,3638,2982.04,0.895055,12878.2,4184.37,9728.87,6474.49,3000,8000,10864.12,1,1,0,1,1,0,0,,,,202624_307,1,-7.0906848,110.4077459,SMG950,-7.09619,110.40451,15,SMG139,-7.08804,110.39965,50,SMG419,-7.10188,110.39059,40,1001.99,152.49,689.2,168.13,2310.84,262.47,LTE2100,LTE900,LTE900,36.83,120,196639,11,1,18.05,320,195287,22,1,25.79,23.23,196890,11,2,0,0,0,0,30,30,30,0,0,0,1,1,1,1,1,1,1,1,1,SU,1274.97,1311.49,1031.44,1311.49,5.84,5.57,0 to half_thd,2.25,3.43,1.36,half_thd to thd,5.56,1.82,0.11,half_thd to thd,2.69,1,2,3,not BS,a. Optimization,f. New Infra,3,not BS,SMG950,31,not BS,3,SMG950,195996,12,1,RED OPTIM
202624,qqwx9yk,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-90.317,2189.35,16,4,14116853,11038891,3955,1986.52,0.895055,14612.62,7846.51,18696.74,2457.48,3000,8000,10757.07,1,0,1,1,0,1,1,,,,202624_307,1,-7.0906865,110.4091313,SMG152,-7.08366,110.4005,40,SMG048,-7.10365,110.41999,15,SMG086,-7.09454,110.4268,15,919.06,164.98,1284.16,359.44,579.48,358.59,LTE900,LTE900,LTE1800,12.79,120,196804,11,1,33.89,90,195897,31,3,27.92,88.56,196652,32,3,0,0,0,0,30,50,30,0,0,0,1,1,1,1,1,1,1,1,1,SU,1274.97,1311.49,1031.44,1311.49,5.69,0.89,0 to half_thd,5.5,4.71,1.02,half_thd to thd,4.22,4.59,1.3,more than thd,5.34,1,2,3,not BS,a. Optimization,not BS,1,not BS,SMG152,22,a. Optimization,1,SMG152,195007,21,1,RED ENGINEERING
202624,qqwxn8r,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-96.49,4093.21,16,15,18836573,14843318,1271,681.86,0.895055,21874.08,14607.82,14999.57,11109.76,3000,8000,3589.22,1,0,0,1,0,0,1,,,,202624_307,1,-7.0906883,110.4105168,SMG653,-7.09814,110.40668,50,SMG142,-7.07872,110.4194,30,SMG789,-7.07626,110.42647,40,433.6,57.31,724.2,252.46,705.59,137.72,LTE900,LTE1800,LTE900,18.76,180,195716,21,1,20.84,140,195816,21,2,77.93,87.05,195571,21,3,0,0,0,0,70,50,30,0,0,0,1,1,1,1,1,1,1,1,1,SU,1274.97,1311.49,1031.44,1311.49,1.58,5.83,0 to half_thd,4.11,5.92,0.33,more than thd,3.46,4.64,1.95,more than thd,5.93,1,2,3,f. New Infra,a. Optimization,not BS,2,f. New Infra,SMG653,32,a. Optimization,1,SMG653,196064,31,3,RED OPTIM
202624,qqwxrrp,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-100.767,33220.83,16,9,18435721,13997587,2754,1648.34,0.895055,60.13,4310.84,8620.57,6963.18,3000,8000,9837.85,1,1,1,1,0,1,0,,,,,0,-7.0906901,110.4119022,SMG139,-7.09417,110.41585,70,SMG523,-7.08906,110.40266,15,SMG748,-7.08409,110.40707,40,1159.98,185.56,595.85,227.86,1638.21,120.67,LTE900,LTE1800,LTE900,72.78,40,195050,11,1,88.57,40,195932,22,3,52.23,64.93,195786,22,2,0,0,0,0,40,40,30,0,0,0,1,1,1,1,1,1,1,1,1,SU,1274.97,1311.49,1031.44,1311.49,5.46,5.18,0 to half_thd,5.0,2.09,4.84,more than thd,3.83,1.25,1.57,0 to half_thd,3.55,1,2,3,not BS,not BS,f. New Infra,2,not BS,SMG139,32,not BS,2,SMG139,196701,31,2,BAD NON POTENTIAL
202624,qqwxwrg,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-90.191,29427.23,16,6,2205162,6970328,2321,1654.06,0.895055,10219.6,8143.74,8338.85,2488.36,3000,8000,6331.15,1,0,1,1,0,1,1,,,,,0,-7.0906918,110.4132876,UNR728,-7.09189,110.41756,50,SMG419,-7.09866,110.40836,50,SMG504,-7.07497,110.39651,70,353.62,269.11,951.16,196.61,805.61,217.17,LTE900,LTE1800,LTE900,25.29,180,195059,22,2,60.53,280,196483,12,2,82.84,88.28,196093,11,2,0,0,0,0,30,30,70,0,0,0,1,1,1,1,1,1,1,1,1,SU,1274.97,1311.49,1031.44,1311.49,1.68,2.82,0 to half_thd,2.67,2.64,2.78,half_thd to thd,4.93,2.9,4.54,half_thd to thd,2.64,1,2,3,f. New Infra,a. Optimization,not BS,3,not BS,UNR728,11,a. Optimization,1,UNR728,196331,11,3,BAD NON POTENTIAL
202624,qqwx107,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-94.496,8501.36,16,7,19370532,11374001,3929,2497.14,0.895055,22705.25,5635.85,18831.75,2386.37,3000,8000,8901.86,1,0,0,1,0,0,1,,,,202624_307,1,-7.0906936,110.414673,SMG296,-7.08536,110.40803,60,UNR047,-7.08748,110.42211,50,SMG425,-7.10611,110.42745,40,1452.37,24.82,483.77,233.12,551.36,4.55,LTE1800,LTE1800,LTE900,39.58,120,196301,22,3,14.62,90,196502,31,3,25.04,72.93,196102,22,2,0,0,0,0,70,50,50,0,0,0,1,1,1,1,1,1,1,1,1,SU,1274.97,1311.49,1031.44,1311.49,5.26,5.0,0 to half_thd,2.76,3.25,4.53,more than thd,4.25,2.89,0.27,half_thd to thd,2.32,1,2,3,a. Optimization,a. Optimization,f. New Infra,2,a. Optimization,SMG296,31,not BS,2,SMG296,196138,11,3,RED ENGINEERING
202624,qqwxy2r,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-96.679,8563.27,16,8,11854802,11801949,3950,2436.05,0.895055,11370.94,4606.28,4641.54,8657.64,3000,8000,4767.44,1,0,0,0,1,1,1,,,,,0,-7.0906953,110.4160585,UNR728,-7.09883,110.41049,15,SMG950,-7.08494,110.41024,30,SMG040,-7.08743,110.41499,40,866.74,81.89,1023.36,64.6,1991.87,5.09,LTE2100,LTE900,LTE1800,5.05,0,196133,21,3,85.02,320,195210,11,3,26.31,43.61,195697,12,1,0,0,0,0,50,70,30,0,0,0,1,1,1,1,1,1,1,1,1,SU,1274.97,1311.49,1031.44,1311.49,5.11,2.46,0 to half_thd,4.1,4.43,1.0,more than thd,5.77,1.43,1.56,more than thd,4.94,1,2,3,a. Optimization,not BS,f. New Infra,2,a. Optimization,UNR728,21,not BS,2,UNR728,195625,31,3,BAD NON POTENTIAL
202624,qqwx1y3,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-94.358,9409.69,16,7,21023466,9905027,715,161.34,0.895055,16546.52,14005.69,8525.77,6538.39,3000,8000,9732.14,1,1,0,0,0,0,1,,,,,1,-7.090697,110.4174439,SMG180,-7.10064,110.41645,60,SMG067,-7.08788,110.41118,70,SMG152,-7.10144,110.42572,40,1099.03,158.1,1071.85,168.73,1874.77,109.47,LTE1800,LTE1800,LTE1800,39.96,240,195081,22,3,29.69,180,195052,11,1,86.61,75.4,196178,31,1,0,0,0,0,50,30,40,0,0,0,1,1,1,1,1,1,1,1,1,SU,1274.97,1311.49,1031.44,1311.49,3.35,3.94,half_thd to thd,2.32,3.93,3.85,half_thd to thd,5.86,3.35,2.51,half_thd to thd,4.52,1,2,3,a. Optimization,a. Optimization,f. New Infra,3,a. Optimization,SMG180,21,not BS,2,SMG180,196666,31,1,NOT RED COV
